document_id	pdf_page_index	warning	disposition	review_basis	notes
KB-MY-ACT678	62		CONFIRMED_BLANK	PROJECT_OWNER_CONFIRMED	Retained in immutable page extraction; excluded from candidate chunks.
KB-MY-ACT678	64		OCR_REQUIRED_OWNER_CLASSIFICATION_CONFLICT	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Owner classified as blank, but rendered page visibly contains Royal Assent and Gazette publication metadata. Retained in component provenance; native extraction is empty and cannot become a text candidate until OCR/review.
KB-MY-CU	1	ROTATED_TEXT_OMITTED_BY_LAYOUT_MODE	ACCEPT_NATIVE_TEXT_ROTATED_TEMPLATE_LABEL_NONMATERIAL	SOURCE_BOUND_RENDER_VISUAL_AND_TEXT_COMPARISON	Rendered cover/spread and native extraction retain the source title and publisher/contact matter; omitted rotated spine text is redundant. This resolves only the extraction warning; claims and final structure remain review-gated.
KB-MY-FORME	1	PAGE_TEXT_LOW_VOLUME_REVIEW_REQUIRED	ACCEPT_LOW_VOLUME_TEXT_SOURCE_BOUND_VISUAL_REVIEW_CLAIM_REVIEW_REQUIRED	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Rendered page contains only visibly represented source-title/divider text, decorative artwork, or running matter. This resolves the extraction-volume warning only; claim and fine-structure review remain required.
KB-MY-FORME	2	PAGE_TEXT_LOW_VOLUME_REVIEW_REQUIRED	ACCEPT_LOW_VOLUME_TEXT_SOURCE_BOUND_VISUAL_REVIEW_CLAIM_REVIEW_REQUIRED	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Rendered page contains only visibly represented source-title/divider text, decorative artwork, or running matter. This resolves the extraction-volume warning only; claim and fine-structure review remain required.
KB-MY-FORME	9	PAGE_TEXT_LOW_VOLUME_REVIEW_REQUIRED	ACCEPT_LOW_VOLUME_TEXT_SOURCE_BOUND_VISUAL_REVIEW_CLAIM_REVIEW_REQUIRED	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Rendered page contains only visibly represented source-title/divider text, decorative artwork, or running matter. This resolves the extraction-volume warning only; claim and fine-structure review remain required.
KB-MY-FORME	26	FONT_ENCODING_CFF_REQUIRES_FONTTOOLS	ACCEPT_TEXT_FONTTOOLS_NO_TEXT_DELTA	CONTROLLED_BEFORE_AFTER_BENCHMARK	fonttools==4.64.0 produced no text delta; separate rotated graphical content requires fallback.
KB-MY-FORME	26	PAGE_TEXT_LOW_VOLUME_REVIEW_REQUIRED	FALLBACK_REQUIRED_SUBSTANTIVE_GRAPHICAL_CONTENT	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Rendered page contains a substantive diagram or illustrated procedure not adequately represented by native text; native page candidate is excluded pending reviewed fallback integration.
KB-MY-FORME	26	ROTATED_TEXT_OMITTED_BY_LAYOUT_MODE	FALLBACK_REQUIRED_SUBSTANTIVE_ROTATED_CONTENT	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Page contains a substantive diagram or table and requires a graphical/rotated-content representation before final chunking.
KB-MY-FORME	29	PAGE_TEXT_LOW_VOLUME_REVIEW_REQUIRED	ACCEPT_LOW_VOLUME_TEXT_SOURCE_BOUND_VISUAL_REVIEW_CLAIM_REVIEW_REQUIRED	SOURCE_BOUND_RENDER_VISUAL_REVIEW	Rendered page contains only visibly represented source-title/divider text, decorative artwork, or running matter. This resolves the extraction-volume warning only; claim and fine-structure review remain required.
